[HGESTRINGTABLE]

numEnemies="103"

;Croc
0Name=      "Crazy Croc"
0GCol=      "0"
0GRow=      "0"
0EnemyType= "4"
0WanderType="0"
0HP=        "50"
0Damage=    "25"
0Radius=    "28"
0Speed=     "100"
0Land=      "T"
0SWater=    "T"
0Chases=    "T"

;Gumdrop
1Name=      "Gumdrop"
1GCol=      "0"
1GRow=      "1"
1NumFrames= "2"
1EnemyType= "2"
1WanderType="1"
1HP=        "150"
1Damage=    "50"
1Radius=    "28"
1Speed=     "80"
1Land=      "T"
1HasRanged= "T"
1Range=     "400"
1Delay=     "2000"
1PDamage=   "50"
1PSpeed=    "400"
1PType=     "0"
1Variable1= "0" ;use gumdrop burrowing animation
1Variable2= "200" ;distance at which to burrow

;Evil Eye
2Name=      "Evil Eye"
2GCol=      "1"
2GRow=      "2"
2EnemyType= "1"
2WanderType="0"
2HP=        "80"
2Damage=    "25"
2Speed=     "100"
2Radius=    "28"
2Land=      "T"
2SWater=    "T"
2Lava=      "T"
2Slime=     "T"
2ImmuneFire="T"
2ImmuneLightning="T"
2ImmuneTongue="T"
2ImmuneStun="T"

;Ranged Squirrel
3Name=      "Shifty Squirrel"
3GCol=      "0"
3GRow=      "8"
3EnemyType= "15"
3WanderType="0"
3HP=        "75"
3Damage=    "25"
3Speed=     "100"
3Radius=    "28"
3Land=      "T"
3SWater=    "T"
3Slime=     "T"
3Chases=    "T"
3HasRanged= "T"
3Range=     "400"
3Delay=     "2000"
3PSpeed=    "400"
3PDamage=   "25"
3PType=     "19"

;Ice Floater
4Name=      "Diabolical Diamond"
4OneGraphic="T"
4GCol=      "9"
4GRow=      "0"
4EnemyType= "9"
4WanderType="0"
4HP=        "80"
4Damage=    "75"
4Speed=     "100"
4Radius=    "28"
4Land=      "T"
4SWater=    "T"
4Slime=     "T"
4Chases=    "T"

;Evil circle (horizontal)
5Name=      "Evil Circle"
5OneGraphic="T"
5GCol=      "10"
5GRow=      "0"
5NumFrames= "2"
5EnemyType= "0"
5WanderType="1"
5HP=        "999999"
5Damage=    "100"
5Speed=     "500"
5Radius=    "28"
5Land=      "T"
5SWater=    "T"
5Slime=     "T"
5Invincible="T"

;Evil circle (vertical)
6OneGraphic="T"
6GCol=      "10"
6GRow=      "0"
6NumFrames= "2"
6EnemyType= "0"
6WanderType="2"
6HP=        "999999"
6Damage=    "100"
6Speed=     "500"
6Radius=    "28"
6Land=      "T"
6SWater=    "T"
6Slime=     "T"
6Invincible="T"

;Cactlet
7Name=      "Cactlet"
7GCol=      "5"
